typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
1	Dancing Fish: January	Frannie Marr						Audacious							1/5/2024	1/6/2024	Melrose FL	https://dancingfish.dance/	
1	Chambana Jan Jam	Sarah Kaiser	Georges Augustin	Nedra McNeil				Eupohr	Turnip the Beet	Meadowhawk				Larks / Robins	1/5/2024	1/7/2024	Urbana IL	http://www.urbana-contra.org/jan_jam.html	
1	Ralph Page Dance Legacy Weekend	Tod Whittemore	Lisa Greenleaf	Dudley Laufman				Sugar River Band	Canterbury Dance Orchestra						1/12/2024	1/13/2024	Worcester MA	https://www.neffa.org/ralph-page/rpde/	
1	Contra Carnivale	Nils Fredland	Cis Hinkle	Susan Petrick				Elixir	The Syncopaths	Eloise &co				Larks / Robins	1/12/2024	1/14/2024	San Luis Obispo CA	https://contracarnivale.org/	
1	Contra Swing Shift Weekend	Charley Harvey						Meadowhawk							1/26/2024	1/27/2024	Berea KY	https://www.swingshift.ltda.us/	
1	Florida Snow Ball	Janine Smith	Will Mentor					Kingfisher	Nova						1/26/2024	1/28/2024	Gulfport FL	http://floridasnowball.tampabaycontra.com/	
1	Peterbough Snow Ball	Mary Wesley	Will Mentor	Lisa Greenleaf	Steve Zakon-Anderson			Moving Violations	Stomp Rocket						1/20/2024	1/20/2024	Peterborough NH	https://www.monadnockfolk.org/?p=11577	
2	IVFDF	Charlie Turner	Sam Tetley Smith					Contrary Faeries	Bearded Dragons					Larks / Robins	2/16/2024	2/18/2024	York UK	https://ivfdf2024.org.uk/	
2	Phoenix Winter Frolic	Christine Merryman						Joyance							2/9/2024	2/10/2024	Mesa AZ	https://phxtmd.org/winter-frolic-2024	
2	Dancing Fish: February	Mary Wesley						Unnamed							2/2/2024	2/3/2024	Melrose FL	https://dancingfish.dance/	
2	Tropical Dance Vacation: St Croix	George Marshall	Lisa Greenleaf					Wild Asparagus							2/7/2024	2/14/2024	St Croix	https://www.tropicaldancevacation.com/contra-week.html	
2	Corvallis Contra Dance Weekend	Frannie Marr	Julian Blechner					Riptide	The Fiddle Hellions					Larks / Robins	2/16/2024	2/18/2024	Corvallis OR	http://corvallisfolklore.org/ccw/	
2	Cabin Fever	Timothy Klein						Hot Coffee Breakdown	Baba Yaga's Stew						2/9/2024	2/11/2024	Knoxville TN	https://www.knoxvillecontra.org/cfschedule	
2	Dance Flurry Festival	Adina Gordon	Bob Isaacs	Liz Nelson	Isaac Banner	Lisa Greenleaf		Countercurrent	Engine Room	River Road	Supertrad				2/16/2024	2/18/2024	Saratoga Springs NY	http://www.flurryfestival.org/	
2	Bayou Bedlam	Gaye Fifer						The Dam Beavers							2/9/2024	2/11/2024	Houston TX	http://www.bayoubedlam.org/	
2	Fiddling Frog Dance Festival	Lisa Greenleaf	Susan Michaels					Stomp Rocket	The Engine Room					Larks / Robins	2/23/2024	2/25/2024	Pasadena CA	https://www.caldancecoop.org/special-events/fiddling-frog/	
2	Supersonic	Seth Tepfer	Will Mentor					Notorious	Playing with Fyre					Larks / Robins	2/2/2024		Seattle WA	http://www.supersoniccontra.com/	
3	Dancing Fish: March	Will Mentor						The Old-Time Superstars							3/1/2024	3/2/2024	Melrose FL	https://dancingfish.dance/	
3	Carolina Meltdown	Seth Tepfer	Diane Silver					The Syncopaths	Drive Train						3/8/2024	3/10/2024	Lake Wylie SC	https://www.charlottecontradance.org/carolina-meltdown	
3	Pigtown Fling	Nils Fredland	Darlene Underwood					Elixir	Trillium						3/22/2024	3/24/2024	Cincinattia OH	http://www.cincinnaticontradance.org/pigtown.htm	
3	DownEast Country Dance Festival																Topsham ME	http://www.deffa.org/festival/	
3	Spring Breakdown Dance Weekend	Emily Rush						Nova	Rushfest						3/15/2024	3/17/2024	Columbia MO	https://mmtd.wordpress.com/dance-weekend-2024/	
3	Beantown Stomp	Maia McCormick	Will Mentor					The Mean Lids	The FIgments					Larks / Robins	3/15/2024	3/17/2024	Cambridge MA	https://www.beantownstomp.com	
