typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url	
1	Chambana Jan Jam	Lauren Peckman	Georges Augustin					The Resurrection Marys	Meadowhawk					Larks / Robins	1/7/2023	Urbana IL	http://www.urbana-contra.org/jan_jam.html	
1	Ralph Page Dance Legacy Weekend	Todd Whittemore	David Millstone	Chrissy Fowler				Unnamed	Sugar River Band						1/14/2023	Durham NH	https://www.neffa.org/ralph-page/35th-annual-ralph-page-jan-2023/	
1	Contra Carnivale	Lindsey Dono	Seth Tepfer	Will Mentor				Notorious	Riptide	Free Raisins				Larks / Robins	1/13/2023	San Louis Obispo CA	https://contracarnivale.org/	
1	Contra Swing Shift Weekend	Joe Wilkie						Illegal Contraband							1/27/2023	Berea KY	https://www.swingshift.ltda.us/	
1	Florida Snow Ball	Darlene Underwood	Seth Tepfer					Dam Beavers	Gaslight Tinkers						1/27/2023	Gulfport FL	http://floridasnowball.tampabaycontra.com/	
2	Tropical Dance Vacation: St Croix	Lisa Greenleaf	George Marshall					Wild Asparagus							2/8/2023	St Croix	https://www.tropicaldancevacation.com/contra-week.html	
2	Corvallis Contra Dance Weekend	Nils Fredland	Jacqui Grennan					Elixir	Countercurrent						2/17/2023	Corvallis OR	http://corvallisfolklore.org/ccw/	
2	Cabin Fever	Darlene Underwood						Gigmeisters	Playing with Fyre						2/10/2023	Knoxville TN	https://www.knoxvillecontra.org/cfschedule	
2	Dance Flurry Festival	Mary Wesley	Will Mentor	Gaye Fifer				Wake up Robin	Nova	Clayfoot Strutters	Spare Parts	Lighthouse	Drivetrain		2/17/2023	Saratoa Springs NY	http://www.flurryfestival.org/	
2	Bayou Bedlam	Mary Wesley						Stomp Rocket	Ceol Na Croi						2/10/2023	Houston TX	http://www.bayoubedlam.org/	
2	Fiddling Frog Dance Festival	Gaye Fifer	Jeremy Korr					Root System	Dam Beavers						2/24/2023	Pasadena CA	https://www.caldancecoop.org/special-events/fiddling-frog/	
3	Carolina Meltdown	Will Mentor	Seth Tepfer					Gaslight Tinkers	Dam Beavers						3/11/2023	Tega Cay SC	https://www.charlottecontradance.org/carolina-meltdown	
3	Spring Breakdown Dance Weekend	Nils Fredland						Elixir							3/17/2023	Columbia MO	https://mmtd.wordpress.com/dance-weekend-2023/	
3	Beantown Stomp	Luke Donforth	Lisa Greenleaf					River Road	Eloise &co					Larks / Robins	3/10/2023	Cambridge MA	https://www.beantownstomp.com	
3	Spring @ Sautee	Terry Doyle	Deanna Polumbo					Contraforce	Playing with Fyre	DJ Tacoshel					3/24/2023	Helena GA	https://www.snca.org/contra/danceWeekend/pageWeekend.php	
4	Contra Holiday in Medieval England	Lisa Greenleaf	Rhianwen Davies					Stringrays	Contrasaurus						3/31/2023	Ely, England	https://contraholiday.net/	next in 2025
4	Epicenter dance weekend	Cis Hinkle	Lindsey Dono					Latter Day Lizards	Figments					Larks / Robins	3/31/2023	Mill Valley CA	https://nbcds.org/epicenter-2023/	
4	SF Bay Queer Contra Dance Camp	Chris Ricciotti	Maia McCormick					Mean Lids	Unnamed					Larks / Robins	4/7/2023	Aptos CA	https://www.queercontradance.org/queercamp.html	
4	Call of the Loon Dance Weekend	Cis Hinkle	Sue Hulsether					Riptide	Contratopia						4/14/2023	Minneapolis MN	https://www.tapestryfolkdance.org/call-of-the-loon.html	
4	Spring Dance Romance	Will Mentor	Eileen Thorsos					Engine Room	Nova						4/28/2023	Chapel Hill NC	https://tcdancers.org/sdr	
